"fid";"SensorID";"Sensortyp";"magl";"Name";"StartDatum";"EndDatum";"Projekt";"SensorSerial";"N";"E";"masl"
"59";"15818";"DL Atmos-22";"2.3";"Meteoschweiz Heubeeribüel (DL)";"29.11.2022 00:00:00";#NV;"MeteoBlue - Referenz";"15818";"1248401";"2685233";"604"
"60";"16564";"DL SHT-35";"2.3";"MeteoSchweiz Affoltern (SHT-35)";"21.12.2022 00:00:00";#NV;"MeteoBlue - Referenz";"16564";"1253542";"2681423";"443"
"61";"16563";"DL SHT-35";"2.3";"Meteoschweiz Heubeeribüel (SHT-35)";"21.12.2022 00:00:00";#NV;"MeteoBlue - Referenz";"16563";"1248401";"2685233";"604"
"62";"BD-Helix-13";"Barani Helix";"1.8";"Giessereistrasse, Mitte";"08.02.2023 00:00:00";#NV;"Schwammstadt - Giessereistrasse";"2103LH008";"1249406";"2681365";"403"
"63";"BD-Helix-25";"Barani Helix";"3.1";"Schimmelstrasse (BD)";"21.02.2023 00:00:00";#NV;"MeteoBlue - Referenz";"2106LH027";"1247240";"2681943";"413"
"64";"17263";"DL Atmos-22";"3.6";"Schimmelstrasse (DL)";"21.02.2023 00:00:00";#NV;"MeteoBlue - Referenz";"17263";"1247240";"2681943";"413"
"65";"BD-Helix-12";"Barani Helix";"2.5";"Räffelstrasse 21";"12.03.2022 00:00:00";#NV;"Kaltluft - Friesenberg";"2103LH007";"1246345";"2681131";"430"
"66";"BD-Helix-09";"Barani Helix";"2";"MeteoSchweiz Heubeeribüel (BD)";"20.08.2023 00:00:00";#NV;"MeteoBlue - Referenz";"2102LH035";"1248401";"2685233";"604"
"67";"BD-Helix-11";"Barani Helix";"3.2";"Scheuchzerstrasse, Zanggenweg (Parallel)";"18.07.2023 00:00:00";#NV;"Schwammstadt - Scheuchzerstrasse";"2103LH006";"1249490";"2683418";"480"
"68";"21460";"DL BLG";"3";"Scheuchzerstrasse, Langmauerstrasse (BG)";"22.05.2024 00:00:00";#NV;"Schwammstadt - Scheuchzerstrasse";"21460";"1249564";"2683365";"479"
"69";"21461";"DL BLG";"3.2";"Scheuchzerstrasse, Zanggenweg (BG)";"22.05.2024 00:00:00";#NV;"Schwammstadt - Scheuchzerstrasse";"21641";"1249490";"2683418";"480"
"70";"21462";"DL BLG";"2.5";"Stüssistrasse, Langmauerstrasse (BG)";"22.05.2024 00:00:00";#NV;"Schwammstadt - Scheuchzerstrasse";"21462";"1249453";"2683345";"470"
"71";"21464";"DL BLG";"2.5";"Sechseläutenplatz";"11.07.2024 00:00:00";#NV;#NV;"21464";"1246677";"2683643";"408"
"72";"21463";"DL BLG";"2.5";"Stadelhoferplatz";"11.07.2024 00:00:00";#NV;#NV;"21463";"1246718";"2683773";"409"
"1000001";"529";"SHT21";"1";"Zürich - Hungerbergstrasse (AWEL)";"01.04.2020 00:00:00";#NV;"AWEL";"529";"1252026";"2679780";"529"
"1000002";"530";"SHT35";"2";"Zürich - Werdinsel-neu (AWEL)";"07.05.2020 00:00:00";#NV;"AWEL";"530";"1250429";"2679316";"399"
"1000003";"531";"SHT21";"2";"Bülach - Feldermösli (AWEL)";"15.10.2019 00:00:00";#NV;"AWEL";"531";"1262843";"2682216";"417"
"1000004";"532";"SHT21";"2";"Bülach - Süd (AWEL)";"24.09.2019 00:00:00";#NV;"AWEL";"532";"1262519";"2683054";"418"
"1000005";"534";"SHT21";"2";"Zürich - Kaserne (AWEL)";"02.04.2020 00:00:00";#NV;"AWEL";"534";"1247990";"2682450";"409"
"1000006";"536";"SHT21";"4";"Zürich - Schimmelstrasse (AWEL)";"02.04.2020 00:00:00";#NV;"AWEL";"536";"1247245";"2681942";"413"
"1000007";"2650";"SHT21";"2";"Schlieren - Badenerstrasse (AWEL)";"16.05.2023 00:00:00";#NV;"AWEL - Stadtklima";"2650";"1250196";"2676170";"394"
"1000008";"2651";"SHT21";"2";"Zürich - Blumenfeld (AWEL)";"01.10.2019 00:00:00";#NV;"AWEL - Stadtklima";"2651";"1252971";"2680587";"454"
"1000009";"2652";"SHT21";"2";"Zürich - Hardplatz (AWEL)";"20.06.2024 00:00:00";#NV;"AWEL - Stadtklima";"2652";"1248514";"2681246";"407"
"1000010";"2653";"SHT21";"2";"Zürich - Witikon (AWEL)";"18.10.2019 00:00:00";#NV;"AWEL - Stadtklima";"2653";"1245950";"2687035";"604"
"1000011";"2654";"SHT21";"2";"Regensdorf - Geerenwiesstrasse (AWEL)";"01.10.2019 00:00:00";#NV;"AWEL";"2654";"1254941";"2678262";"439"
"1000012";"2655";"SHT21";"2";"Zürich - Nordlicht-2 (AWEL)";"01.10.2019 00:00:00";#NV;"AWEL - Stadtklima";"2655";"1252124";"2683194";"439"
"1000013";"2656";"SHT21";"2";"Zürich - Altuetliberg (AWEL)";"11.07.2023 00:00:00";#NV;"AWEL - Stadtklima";"2656";"1244478";"2679956";"774"
"1000014";"2657";"SHT21";"2";"Zürich - Grünau (AWEL)";"01.10.2019 00:00:00";#NV;"AWEL - Stadtklima";"2657";"1250051";"2679427";"401"
"1000015";"2658";"SHT21";"2";"Schlieren - Brachweg (AWEL)";"01.10.2019 00:00:00";#NV;"AWEL - Stadtklima";"2658";"1251042";"2676474";"391"
"1000016";"2659";"SHT21";"2";"Zürich - Lindenhof (AWEL)";"12.09.2019 00:00:00";#NV;"AWEL - Stadtklima";"2659";"1247484";"2683257";"428"
"1000017";"2679";"SHT21";"2";"Zürich - Zürihorn (AWEL)";"27.09.2019 00:00:00";#NV;"AWEL - Stadtklima";"2679";"1245349";"2684037";"408"
"1000018";"2680";"SHT21";"2";"Zürich - Paradeplatz (AWEL)";"27.09.2019 00:00:00";#NV;"AWEL - Stadtklima";"2680";"1247195";"2683111";"411"
"1000019";"2681";"SHT21";"2";"Opfikon - Glattpark (AWEL)";"11.11.2019 00:00:00";#NV;"AWEL - Stadtklima";"2681";"1253174";"2684807";"426"
"1000020";"2682";"SHT21";"2";"Zürich - Sechseläutenplatz (AWEL)";"27.09.2019 00:00:00";#NV;"AWEL - Stadtklima";"2682";"1246727";"2683685";"408"
"1000021";"2683";"SHT21";"2";"Zürich - offene Rennbahn (AWEL)";"11.11.2019 00:00:00";#NV;"AWEL - Stadtklima";"2683";"1251619";"2684027";"430"
"1000022";"2684";"SHT21";"2.5";"Winterthur Bahnhof (AWEL)";"30.07.2021 00:00:00";#NV;"AWEL - Stadtklima";"2684";"1261701";"2696836";"439"
"1000023";"2686";"SHT21";"2";"Winterthur - Neumarkt (AWEL)";"16.10.2019 00:00:00";#NV;"AWEL - Stadtklima";"2686";"1261629";"2697041";"441"
"1000024";"2687";"SHT21";"2";"Uster - Schulhaus-Dorf (AWEL)";"02.10.2019 00:00:00";#NV;"AWEL - Stadtklima";"2687";"1244732";"2696517";"462"
"1000025";"2688";"SHT21";"2";"Zürich - Nordlicht (AWEL)";"15.10.2019 00:00:00";#NV;"AWEL - Stadtklima";"2688";"1252034";"2683006";"440"
"1000026";"2689";"SHT21";"2";"Zürich - Perron-HB (AWEL)";"12.09.2019 00:00:00";#NV;"AWEL - Stadtklima";"2689";"1248218";"2682716";"407"
"1000027";"2690";"SHT35";"1.8";"Zürich - ScienceCity (AWEL)";"18.09.2019 00:00:00";#NV;"AWEL - Stadtklima";"2690";"1251425";"2680693";"525"
"1000028";"2691";"SHT35";"2.5";"Winterthur - Schulhaus-Altstadt (AWEL)";"02.04.2020 00:00:00";#NV;"AWEL - Stadtklima";"2691";"1261880";"2697327";"443"
"1000029";"2693";"SHT35";"2";"Lindau - Tagelswangen (AWEL)";"08.04.2022 00:00:00";#NV;"AWEL - Stadtklima";"2693";"1254242";"2692221";"493"
"1000030";"2694";"SHT35";"2";"Oberembrach - Schüler (AWEL)";"18.10.2019 00:00:00";#NV;"AWEL - Stadtklima";"2694";"1260451";"2689546";"470"
"1000031";"2695";"SHT35";"2";"Zürich - Vulkanplatz (AWEL)";"18.09.2019 00:00:00";#NV;"AWEL - Stadtklima";"2695";"1249607";"2679386";"398"
"1000032";"2696";"SHT35";"2";"Zürich - Oerlikerpark (AWEL)";"01.10.2019 00:00:00";#NV;"AWEL - Stadtklima";"2696";"1252124";"2683018";"439"
"1000033";"2697";"SHT35";"2";"Zürich - Eichbühl (AWEL)";"18.09.2019 00:00:00";#NV;"AWEL - Stadtklima";"2697";"1248703";"2678216";"443"
"1000034";"2698";"SHT35";"2";"Zürich - Bucheggplatz (AWEL)";"18.09.2019 00:00:00";#NV;"AWEL - Stadtklima";"2698";"1250257";"2682642";"472"
"1000035";"2805";"SHT35";"2";"Elsau - Halden (AWEL)";"18.10.2019 00:00:00";#NV;"AWEL - Stadtklima";"2805";"1262305";"2703580";"514"
"1000036";"2806";"SHT35";"2";"Uster - Sunnenloobach (AWEL)";"02.10.2019 00:00:00";#NV;"AWEL - Stadtklima";"2806";"1245929";"2695412";"463"
"1000037";"2807";"SHT35";"2";"Regensdorf - Bahnhof-Nord (AWEL)";"16.05.2023 00:00:00";#NV;"AWEL - Stadtklima";"2807";"1254688";"2678008";"440"
"1000038";"2808";"SHT35";"2";"Uster - Ackerstrasse (AWEL)";"02.10.2019 00:00:00";#NV;"AWEL - Stadtklima";"2808";"1245777";"2695885";"458"
"1000039";"2809";"SHT35";#NV;"Zürich - Irchel (AWEL)";"27.08.2021 00:00:00";#NV;"AWEL - Stadtklima";"2809";"1250210";"2683546";"489"
"1000040";"2810";"SHT35";"2";"Zürich - Sihlfeld-Kapelle (AWEL)";"18.06.2021 00:00:00";#NV;"AWEL";"2810";"1247588";"2680785";"414"
"1000041";"2811";"SHT35";"2";"Uster - Im-Lot (AWEL)";"02.10.2019 00:00:00";#NV;"AWEL - Stadtklima";"2811";"1244870";"2696165";"457"
"1000042";"2812";"SHT35";"2";"Uster - Schulhaus-Pünt (AWEL)";"02.10.2019 00:00:00";#NV;"AWEL - Stadtklima";"2812";"1245044";"2696272";"458"
