locationID,sensor,stationID,yCH1903+,xCH1903+,latDecimal,lonDecimal,masl,streetName,poleNumber,distance_to_building_m,shade,LCZ,installationDate,functionCheck,notes
F5,LoRain,034000EF,2680347.0,1251369.0,47.40823,8.50317,517,Albert-Einstein-Strasse,,70,,9(E/5),2019-06-20 12:55:00,ok,Verschiebung um 90m nach Norden
F5,Barani,2212LH036,2680347.0,1251369.0,47.40823,8.50317,517,Albert-Einstein-Strasse,,70,,9(E/5),2023-03-15 09:00:00,ok,LoRain durch Barani ersetzt
F8,LoRain,034000E5,2680488.0,1249789.0,47.394,8.50475,401,Hardturmstrasse,50,30,,E(5),2019-06-21 07:50:00,ok,
F8,LoRain,0340AA45,2680488.0,1249789.0,47.394,8.50475,401,Hardturmstrasse,50,30,,E(5),2020-09-25 10:21:00,ok,
F8,Barani,2211LH035,2680488.0,1249789.0,47.394,8.50475,401,Hardturmstrasse,50,30,,E(5),2023-03-15 10:00:00,ok,LoRain durch Barani ersetzt
F11,LoRain,03400117,2680680.0,1248386.0,47.38136,8.50704,409,Bienenstrasse,4,<5,,8(5),2019-06-21 08:45:00,ok,Station 12E wurde mit 117 ersetzt
F14,LoRain,034000D2,2680840.0,1246855.0,47.36757,8.50888,429,Döltschiweg,13,10,Bäume,5,2019-06-21 10:20:00,ok,
F17,LoRain,034000E6,2681019.0,1245257.0,47.35318,8.51096,480,Uetlibergstrasse,64,20,,5,2019-07-02 10:00:00,ok,
F17,LoRain,0340AA4C,2681019.0,1245257.0,47.35318,8.51096,480,Uetlibergstrasse,64,20,,5,2021-02-03 18:02:00,ok,
F17,Barani,2211LH032,2681019.0,1245257.0,47.35318,8.51096,480,Uetlibergstrasse,64,20,,5,2023-03-13 16:00:00,ok,LoRain ersetzt durch Barani
G1,LoRain,034000DF,2680643.0,1253351.0,47.42602,8.50745,445,Horensteinstrasse,6,15,,6,2019-06-20 10:00:00,ok,Verschiebung um 60m nach Osten
G1,LoRain,0340AA47,2680643.0,1253351.0,47.42602,8.50745,445,Horensteinstrasse,6,15,,6,2020-09-25 08:37:00,ok,Verschiebung um 60m nach Osten
G1,Barani,2212LH030,2680643.0,1253351.0,47.42602,8.50745,445,Horensteinstrasse,6,15,,6,2023-03-17 09:45:00,ok,LoRain ersetzt durch Barani
G4,LoRain,03400128,2680751.0,1251863.0,47.41262,8.50861,503,Lerchenberg,,30,,5,2019-06-20 10:40:00,ok,Langer Winkel (sehr instabil)
G7,LoRain,03400130,2680869.0,1250349.0,47.39899,8.5099,509,Appenzellerstrasse,1,20,,5,2019-06-21 13:15:00,ok,
G10,LoRain,0340010D,2681172.0,1248952.0,47.38639,8.51366,404,Gleisbogen,51,25,,4(5/E),2019-06-21 08:25:00,ok,
G13,LoRain,034000D3,2681353.0,1247311.0,47.37161,8.51576,416,Ämtlerstrasse/Kalkbreitestrasse,23,15,,2,2019-06-21 10:35:00,ok,"Verschiebung um 95m nach Südosten, Reboot am 14.05.2024, ersetzt mit Lorain 034000CD am 22.08.2024"
G13,LoRain,034000CD,2681353.0,1247311.0,47.37161,8.51576,416,Ämtlerstrasse/Kalkbreitestrasse,23,15,,2,2024-08-22 10:45:00,ok,
G16,LoRain,03400114,2681432.0,1245912.0,47.35902,8.51655,435,Uetlibergstrasse/Giesshübelstrasse,26,25,,5,2019-07-02 10:20:00,ok,
H3,LoRain,034000CF,2681262.0,1252435.0,47.41771,8.51548,457,Fronwaldstrasse,13,40,,9,2019-06-20 09:25:00,ok,
H3,LoRain,0340AA4D,2681262.0,1252435.0,47.41771,8.51548,457,Fronwaldstrasse,13,40,,9,2021-02-09 15:17:00,ok,
H3,Barani,2212LH027,2681262.0,1252435.0,47.41771,8.51548,457,Fronwaldstrasse,13,40,,9,2023-03-17 10:15:00,ok,"LoRain ersetzt durch Barani, neuer Platz mit Biotop gemäss Bilder"
H3,Barani,2212LH025,2681262.0,1252435.0,47.41771,8.51548,457,Fronwaldstrasse,13,40,,9,2023-04-24 17:00:00,ok,"Barani ersetzt, da reboot nicht funktioniert hat"
H9,LoRain,03400121,2681471.0,1249344.0,47.38988,8.51769,403,Turbinenplatz,110,15,,8(2),2019-06-21 08:15:00,ok,Verschiebung um 90m nach Südwesten
H12,LoRain,034000FF,2681787.0,1248015.0,47.37789,8.52163,409,Stauffacherstrasse,42,5,,2,2019-06-21 10:50:00,ok,Verschiebung um 90 m nach Nord(-osten)
H12,LoRain,0340D1F0,2681787.0,1248015.0,47.37789,8.52163,409,Stauffacherstrasse,42,5,,2,2021-11-18 10:30:00,ok,"Verschiebung um 90 m nach Nord(-osten), entfernt und ersetzt am 31.01.2024 mit Barani 2401LH048"
H12,Barani,2401LH048,2681787.0,1248015.0,47.37789,8.52163,409,Stauffacherstrasse,42,5,,2,2024-01-31 12:05:00,ok,
H15,LoRain,03400102,2681874.0,1246425.0,47.36358,8.52249,418,Giesshubelbrücke,29,10,,6(E),2019-07-02 10:50:00,ok,
H18,LoRain,0340010E,2682113.0,1244980.0,47.35055,8.52539,423,Allmendstrasse,77,60,,E(9),2019-07-29 09:50:00,ok,
H21,LoRain,03400113,2682256.0,1243451.0,47.33679,8.527,455,Balberstrasse,17,10,,5,2019-07-02 13:45:00,ok,
H21,Barani,2212LH040,2682256.0,1243451.0,47.33679,8.527,455,Balberstrasse,17,10,,5,2023-03-13 18:00:00,ok,LoRain ersetz durch Barani
I5,LoRain,0340010F,2681819.0,1251505.0,47.40927,8.52269,495,Waldstrasse,6,20,,6(A),2019-06-19 15:05:00,,
